origNode, k, verticesSeen
0,1,4673,
0,2,26150,
0,3,28575,
1,1,1223,
1,2,22131,
1,3,28479,
2,1,566,
2,2,19312,
2,3,28372,
3,1,2173,
3,2,23925,
3,3,28529,
4,1,450,
4,2,18217,
4,3,28337,
5,1,191,
5,2,14064,
5,3,28080,
6,1,2811,
6,2,24886,
6,3,28567,
7,1,650,
7,2,19943,
7,3,28406,
8,1,290,
8,2,16237,
8,3,28231,
9,1,1226,
9,2,22176,
9,3,28482,
10,1,235,
10,2,15676,
10,3,28188,
11,1,103,
11,2,11207,
11,3,27788,
12,1,2407,
12,2,24614,
12,3,28552,
13,1,553,
13,2,19205,
13,3,28384,
14,1,239,
14,2,16036,
14,3,28209,
15,1,947,
15,2,21708,
15,3,28468,
16,1,215,
16,2,14910,
16,3,28147,
17,1,67,
17,2,10568,
17,3,27719,
18,1,1343,
18,2,22693,
18,3,28491,
19,1,271,
19,2,16372,
19,3,28225,
20,1,124,
20,2,13271,
20,3,28016,
21,1,538,
21,2,19359,
21,3,28381,
22,1,85,
22,2,10805,
22,3,27735,
23,1,42,
23,2,8216,
23,3,27342,
24,1,3034,
24,2,25152,
24,3,28567,
25,1,703,
25,2,20156,
25,3,28415,
26,1,322,
26,2,17350,
26,3,28256,
27,1,1315,
27,2,22639,
27,3,28498,
28,1,252,
28,2,15228,
28,3,28175,
29,1,107,
29,2,11606,
29,3,27850,
30,1,1717,
30,2,23519,
30,3,28524,
31,1,379,
31,2,17515,
31,3,28313,
32,1,150,
32,2,13571,
32,3,28058,
33,1,726,
33,2,20150,
33,3,28410,
34,1,105,
34,2,12132,
34,3,27928,
35,1,53,
35,2,10254,
35,3,27670,
36,1,1452,
36,2,22941,
36,3,28507,
37,1,291,
37,2,17441,
37,3,28298,
38,1,118,
38,2,12963,
38,3,28002,
39,1,547,
39,2,19470,
39,3,28369,
40,1,118,
40,2,12746,
40,3,27981,
41,1,49,
41,2,8491,
41,3,27425,
42,1,789,
42,2,20812,
42,3,28416,
43,1,161,
43,2,14348,
43,3,28108,
44,1,56,
44,2,7944,
44,3,27367,
45,1,314,
45,2,16747,
45,3,28259,
46,1,58,
46,2,9966,
46,3,27663,
47,1,30,
47,2,7446,
47,3,27161,
48,1,2505,
48,2,24528,
48,3,28556,
49,1,562,
49,2,19018,
49,3,28369,
50,1,242,
50,2,14538,
50,3,28098,
51,1,1070,
51,2,21486,
51,3,28472,
52,1,196,
52,2,13130,
52,3,28008,
53,1,82,
53,2,10518,
53,3,27713,
54,1,1373,
54,2,22573,
54,3,28490,
55,1,274,
55,2,15997,
55,3,28246,
56,1,121,
56,2,14153,
56,3,28057,
57,1,538,
57,2,19097,
57,3,28365,
58,1,88,
58,2,8162,
58,3,27421,
59,1,29,
59,2,5026,
59,3,26418,
60,1,1176,
60,2,22323,
60,3,28478,
61,1,212,
61,2,14016,
61,3,28092,
62,1,90,
62,2,12679,
62,3,27957,
63,1,461,
63,2,18904,
63,3,28359,
64,1,67,
64,2,9839,
64,3,27662,
65,1,27,
65,2,4491,
65,3,26109,
66,1,607,
66,2,19700,
66,3,28386,
67,1,118,
67,2,13511,
67,3,28050,
68,1,47,
68,2,7083,
68,3,27176,
69,1,254,
69,2,16016,
69,3,28214,
70,1,37,
70,2,7079,
70,3,27145,
71,1,17,
71,2,5321,
71,3,26531,
72,1,1539,
72,2,22840,
72,3,28495,
73,1,283,
73,2,16045,
73,3,28235,
74,1,123,
74,2,12515,
74,3,27951,
75,1,607,
75,2,19320,
75,3,28381,
76,1,104,
76,2,11390,
76,3,27827,
77,1,40,
77,2,8475,
77,3,27412,
78,1,817,
78,2,20812,
78,3,28442,
79,1,161,
79,2,14435,
79,3,28086,
80,1,59,
80,2,8052,
80,3,27349,
81,1,304,
81,2,17167,
81,3,28267,
82,1,44,
82,2,6498,
82,3,26987,
83,1,19,
83,2,3690,
83,3,25750,
84,1,663,
84,2,19951,
84,3,28407,
85,1,131,
85,2,12636,
85,3,27950,
86,1,49,
86,2,9297,
86,3,27566,
87,1,257,
87,2,15945,
87,3,28198,
88,1,43,
88,2,8006,
88,3,27306,
89,1,21,
89,2,5391,
89,3,26617,
90,1,351,
90,2,17476,
90,3,28307,
91,1,61,
91,2,11218,
91,3,27823,
92,1,24,
92,2,6333,
92,3,26954,
93,1,101,
93,2,11337,
93,3,27834,
94,1,35,
94,2,5059,
94,3,26409,
95,1,19,
95,2,5612,
95,3,26620,
96,1,12,
96,2,2445,
96,3,24656,
97,1,1523,
97,2,22811,
97,3,28505,
98,1,306,
98,2,16596,
98,3,28246,
99,1,115,
99,2,10961,
99,3,27823,
100,1,585,
100,2,19217,
100,3,28371,
101,1,103,
101,2,11734,
101,3,27876,
102,1,41,
102,2,7221,
102,3,27159,
103,1,829,
103,2,21127,
103,3,28461,
104,1,130,
104,2,12294,
104,3,27921,
105,1,74,
105,2,8681,
105,3,27442,
106,1,292,
106,2,17029,
106,3,28276,
107,1,45,
107,2,9067,
107,3,27479,
108,1,15,
108,2,6919,
108,3,27067,
109,1,693,
109,2,19854,
109,3,28406,
110,1,125,
110,2,14015,
110,3,28064,
111,1,48,
111,2,7837,
111,3,27275,
112,1,242,
112,2,16011,
112,3,28214,
113,1,37,
113,2,5965,
113,3,26852,
114,1,15,
114,2,5601,
114,3,26668,
115,1,341,
115,2,16433,
115,3,28227,
116,1,61,
116,2,8268,
116,3,27420,
117,1,17,
117,2,4490,
117,3,26121,
118,1,117,
118,2,12944,
118,3,27972,
119,1,16,
119,2,3196,
119,3,25300,
120,1,15,
120,2,3730,
120,3,25754,
121,1,876,
121,2,20929,
121,3,28426,
122,1,171,
122,2,13870,
122,3,28073,
123,1,73,
123,2,9979,
123,3,27668,
124,1,327,
124,2,16342,
124,3,28240,
125,1,57,
125,2,8223,
125,3,27376,
126,1,19,
126,2,3233,
126,3,25323,
127,1,411,
127,2,17613,
127,3,28320,
128,1,65,
128,2,10917,
128,3,27767,
129,1,25,
129,2,8469,
129,3,27403,
130,1,156,
130,2,13069,
130,3,28033,
131,1,31,
131,2,6332,
131,3,26924,
132,1,6,
132,2,889,
132,3,21398,
133,1,347,
133,2,17714,
133,3,28303,
134,1,61,
134,2,7252,
134,3,27117,
135,1,22,
135,2,5043,
135,3,26442,
136,1,142,
136,2,13391,
136,3,28030,
137,1,21,
137,2,5736,
137,3,26685,
138,1,9,
138,2,2033,
138,3,24012,
139,1,175,
139,2,14813,
139,3,28116,
140,1,37,
140,2,7805,
140,3,27301,
141,1,9,
141,2,3125,
141,3,25344,
142,1,55,
142,2,8721,
142,3,27446,
143,1,20,
143,2,5667,
143,3,26692,
144,1,9,
144,2,2434,
144,3,24420,
145,1,4,
145,2,676,
145,3,20061,
146,1,690,
146,2,19806,
146,3,28407,
147,1,102,
147,2,10300,
147,3,27691,
148,1,49,
148,2,6064,
148,3,26840,
149,1,238,
149,2,15826,
149,3,28195,
150,1,35,
150,2,6361,
150,3,26895,
151,1,19,
151,2,1943,
151,3,23999,
152,1,371,
152,2,17089,
152,3,28290,
153,1,63,
153,2,8769,
153,3,27471,
154,1,15,
154,2,3360,
154,3,25415,
155,1,117,
155,2,12188,
155,3,27951,
156,1,13,
156,2,3334,
156,3,25351,
157,1,9,
157,2,1510,
157,3,23224,
158,1,260,
158,2,14699,
158,3,28132,
159,1,35,
159,2,6725,
159,3,27052,
160,1,21,
160,2,2474,
160,3,24747,
161,1,88,
161,2,9314,
161,3,27590,
162,1,16,
162,2,6799,
162,3,26997,
163,1,5,
163,2,442,
163,3,18288,
164,1,132,
164,2,10938,
164,3,27788,
165,1,22,
165,2,7745,
165,3,27283,
166,1,6,
166,2,645,
166,3,19879,
167,1,44,
167,2,10049,
167,3,27646,
168,1,7,
168,2,1396,
168,3,22975,
169,1,2,
169,2,421,
169,3,17052,
170,1,404,
170,2,17796,
170,3,28319,
171,1,64,
171,2,7859,
171,3,27224,
172,1,28,
172,2,2484,
172,3,24752,
173,1,118,
173,2,13320,
173,3,28022,
174,1,26,
174,2,4358,
174,3,26176,
175,1,8,
175,2,2096,
175,3,24078,
176,1,220,
176,2,14153,
176,3,28084,
177,1,27,
177,2,9001,
177,3,27494,
178,1,9,
178,2,1942,
178,3,24006,
179,1,76,
179,2,10408,
179,3,27691,
180,1,7,
180,2,2211,
180,3,24172,
181,1,2,
181,2,662,
181,3,20208,
182,1,155,
182,2,12969,
182,3,27997,
183,1,17,
183,2,4372,
183,3,26136,
184,1,12,
184,2,3794,
184,3,25826,
185,1,58,
185,2,8969,
185,3,27523,
186,1,7,
186,2,834,
186,3,20997,
187,1,1,
187,2,136,
187,3,12427,
188,1,90,
188,2,11614,
188,3,27888,
189,1,12,
189,2,953,
189,3,21832,
190,1,6,
190,2,1629,
190,3,23466,
191,1,10,
191,2,3399,
191,3,25392,
192,1,6,
192,2,3064,
192,3,25139,
193,1,3,
193,2,697,
193,3,19978,
194,1,2,
194,2,662,
194,3,19753,
195,1,2831,
